Year of Date,Month of Date,Measure Names,Site,Measure Values
2008,October,Average Turbidity (NTU),Site 09,0.5
2008,September,Average Turbidity (NTU),Site 09,0.15
2008,August,Average Turbidity (NTU),Site 09,0.733333333
2008,July,Average Turbidity (NTU),Site 09,0.9
2008,June,Average Turbidity (NTU),Site 09,0.6
2008,May,Average Turbidity (NTU),Site 09,0
2008,April,Average Turbidity (NTU),Site 09,0.65
2008,March,Average Turbidity (NTU),Site 09,4.3
2008,February,Average Turbidity (NTU),Site 09,7.033333333
2008,January,Average Turbidity (NTU),Site 09,15.4
2008,December,Average Turbidity (NTU),Site 08,0.766666667
2008,November,Average Turbidity (NTU),Site 08,0.33
2008,October,Average Turbidity (NTU),Site 08,0.433333333
2008,September,Average Turbidity (NTU),Site 08,0
2008,August,Average Turbidity (NTU),Site 08,0
2008,July,Average Turbidity (NTU),Site 08,0.166666667
2008,June,Average Turbidity (NTU),Site 08,0.166666667
2008,May,Average Turbidity (NTU),Site 08,
2008,April,Average Turbidity (NTU),Site 08,0.65
2008,March,Average Turbidity (NTU),Site 08,5.7
2008,February,Average Turbidity (NTU),Site 08,9.066666667
2008,January,Average Turbidity (NTU),Site 08,21.06666666
2008,December,Average Turbidity (NTU),Site 07,2.5
2008,November,Average Turbidity (NTU),Site 07,2.066666667
2008,October,Average Turbidity (NTU),Site 07,0.153333333
2008,September,Average Turbidity (NTU),Site 07,0.45
2008,August,Average Turbidity (NTU),Site 07,0
2008,July,Average Turbidity (NTU),Site 07,0.6
2008,June,Average Turbidity (NTU),Site 07,1.025
2008,May,Average Turbidity (NTU),Site 07,0.116666667
2008,April,Average Turbidity (NTU),Site 07,0.683333333
2008,March,Average Turbidity (NTU),Site 07,6.313333333
2008,February,Average Turbidity (NTU),Site 07,9.8
2008,January,Average Turbidity (NTU),Site 07,22
2008,December,Average Turbidity (NTU),Site 06,0.383333333
2008,November,Average Turbidity (NTU),Site 06,0.25
2008,October,Average Turbidity (NTU),Site 06,0.166666667
2008,September,Average Turbidity (NTU),Site 06,2
2008,August,Average Turbidity (NTU),Site 06,0.466666667
2008,July,Average Turbidity (NTU),Site 06,1.733333333
2008,June,Average Turbidity (NTU),Site 06,0.36
2008,May,Average Turbidity (NTU),Site 06,0.033333333
2008,April,Average Turbidity (NTU),Site 06,0.303333333
2008,March,Average Turbidity (NTU),Site 06,1.3
2008,February,Average Turbidity (NTU),Site 06,1.4
2008,January,Average Turbidity (NTU),Site 06,10.066666666
2008,December,Average Turbidity (NTU),Site 05,0.183333333
2008,November,Average Turbidity (NTU),Site 05,0.083333333
2008,October,Average Turbidity (NTU),Site 05,0.466666667
2008,September,Average Turbidity (NTU),Site 05,0.166666667
2008,August,Average Turbidity (NTU),Site 05,0.566666667
2008,July,Average Turbidity (NTU),Site 05,0.466666667
2008,June,Average Turbidity (NTU),Site 05,0.683333333
2008,May,Average Turbidity (NTU),Site 05,0.233333333
2008,April,Average Turbidity (NTU),Site 05,0.366666667
2008,March,Average Turbidity (NTU),Site 05,1.3
2008,February,Average Turbidity (NTU),Site 05,2.8
2008,January,Average Turbidity (NTU),Site 05,4.866666666
2008,December,Average Turbidity (NTU),Site 04,0.316666667
2008,November,Average Turbidity (NTU),Site 04,0.333333333
2008,October,Average Turbidity (NTU),Site 04,0.333333333
2008,September,Average Turbidity (NTU),Site 04,0.433333333
2008,August,Average Turbidity (NTU),Site 04,1
2008,July,Average Turbidity (NTU),Site 04,1.566666667
2008,June,Average Turbidity (NTU),Site 04,0.516666667
2008,May,Average Turbidity (NTU),Site 04,0.133333333
2008,April,Average Turbidity (NTU),Site 04,1.733333333
2008,March,Average Turbidity (NTU),Site 04,1.05
2008,February,Average Turbidity (NTU),Site 04,2.9
2008,January,Average Turbidity (NTU),Site 04,4.6
2008,December,Average Turbidity (NTU),Site 03,0.733333333
2008,November,Average Turbidity (NTU),Site 03,0.883333333
2008,October,Average Turbidity (NTU),Site 03,0.566666667
2008,September,Average Turbidity (NTU),Site 03,0.25
2008,August,Average Turbidity (NTU),Site 03,0.383333333
2008,July,Average Turbidity (NTU),Site 03,1.133333333
2008,June,Average Turbidity (NTU),Site 03,0.666666667
2008,May,Average Turbidity (NTU),Site 03,0.206666667
2008,April,Average Turbidity (NTU),Site 03,0.75
2008,March,Average Turbidity (NTU),Site 03,2.23
2008,February,Average Turbidity (NTU),Site 03,4.333333333
2008,January,Average Turbidity (NTU),Site 03,4.166666667
2008,December,Average Turbidity (NTU),Site 02,0.25
2008,November,Average Turbidity (NTU),Site 02,0.4
2008,October,Average Turbidity (NTU),Site 02,0.383333333
2008,September,Average Turbidity (NTU),Site 02,0.266666667
2008,August,Average Turbidity (NTU),Site 02,0.733333333
2008,July,Average Turbidity (NTU),Site 02,0.18
2008,June,Average Turbidity (NTU),Site 02,1.433333333
2008,May,Average Turbidity (NTU),Site 02,0.5
2008,April,Average Turbidity (NTU),Site 02,0.516666667
2008,March,Average Turbidity (NTU),Site 02,3.266666667
2008,February,Average Turbidity (NTU),Site 02,1.566666667
2008,January,Average Turbidity (NTU),Site 02,1.533333333
2008,December,Average Turbidity (NTU),Site 01,0.066666667
2008,November,Average Turbidity (NTU),Site 01,0.183333333
2008,October,Average Turbidity (NTU),Site 01,0.133333333
2008,September,Average Turbidity (NTU),Site 01,0.133333333
2008,August,Average Turbidity (NTU),Site 01,0.033333333
2008,July,Average Turbidity (NTU),Site 01,0.016666667
2008,June,Average Turbidity (NTU),Site 01,0
2008,May,Average Turbidity (NTU),Site 01,0.116666667
2008,April,Average Turbidity (NTU),Site 01,0.1
2008,March,Average Turbidity (NTU),Site 01,1.053333333
2008,January,Average Turbidity (NTU),Site 01,0.2
2008,December,Average pH,Site 16,7.44
2008,November,Average pH,Site 16,7.7
2008,October,Average pH,Site 16,6.9
2008,September,Average pH,Site 16,7.066666667
2008,August,Average pH,Site 16,15.34
2008,July,Average pH,Site 16,14.8
2008,June,Average pH,Site 16,7.91
2008,May,Average pH,Site 16,7.773333333
2008,April,Average pH,Site 16,7.8
2008,March,Average pH,Site 16,7.7
2008,February,Average pH,Site 16,7.9
2008,January,Average pH,Site 16,13.8
2008,December,Average pH,Site 15,7.393333333
2008,November,Average pH,Site 15,7.463333333
2008,October,Average pH,Site 15,6.9
2008,September,Average pH,Site 15,5.9
2008,August,Average pH,Site 15,14.6
2008,July,Average pH,Site 15,15.133333334
2008,June,Average pH,Site 15,7.333333333
2008,May,Average pH,Site 15,7.116666667
2008,April,Average pH,Site 15,7.766666667
2008,March,Average pH,Site 15,7.3
2008,February,Average pH,Site 15,7.233333333
2008,January,Average pH,Site 15,15.8
2008,December,Average pH,Site 13,6.656666667
2008,November,Average pH,Site 13,6.233333333
2008,October,Average pH,Site 13,6.3
2008,September,Average pH,Site 13,6.133333333
2008,August,Average pH,Site 13,14.146666666
2008,July,Average pH,Site 13,13.506666666
2008,June,Average pH,Site 13,6.573333333
2008,May,Average pH,Site 13,6.366666667
2008,April,Average pH,Site 13,5.566666667
2008,March,Average pH,Site 13,6.333333333
2008,February,Average pH,Site 13,5.666666667
2008,January,Average pH,Site 13,15.833333333
2008,December,Average pH,Site 12,6.626666667
2008,November,Average pH,Site 12,6.803333333
2008,October,Average pH,Site 12,6.066666667
2008,September,Average pH,Site 12,5.833333333
2008,August,Average pH,Site 12,13.486666666
2008,July,Average pH,Site 12,13.2
2008,June,Average pH,Site 12,6.77
2008,May,Average pH,Site 12,6.586666667
2008,April,Average pH,Site 12,6.273333333
2008,March,Average pH,Site 12,6.4
2008,February,Average pH,Site 12,5.7
2008,January,Average pH,Site 12,11.333333334
2008,December,Average pH,Site 11,5.8
2008,November,Average pH,Site 11,6
2008,October,Average pH,Site 11,6.3
2008,September,Average pH,Site 11,5.966666667
2008,August,Average pH,Site 11,13.26
2008,July,Average pH,Site 11,13.546666667
2008,June,Average pH,Site 11,6.463333333
2008,May,Average pH,Site 11,6.6
2008,April,Average pH,Site 11,4.633333333
2008,March,Average pH,Site 11,6.333333333
2008,February,Average pH,Site 11,6.6
2008,January,Average pH,Site 11,9.6
2008,December,Average pH,Site 10,7.723333333
2008,November,Average pH,Site 10,7.066666667
2008,October,Average pH,Site 10,7.3
2008,September,Average pH,Site 10,7.4
2008,August,Average pH,Site 10,15.206666666
2008,July,Average pH,Site 10,15.06
2008,June,Average pH,Site 10,7.533333333
2008,May,Average pH,Site 10,8.41
2008,April,Average pH,Site 10,7.333333333
2008,March,Average pH,Site 10,7.266666667
2008,February,Average pH,Site 10,7.2
2008,January,Average pH,Site 10,13.8
2008,December,Average pH,Site 09,7.3
2008,November,Average pH,Site 09,7.966666667
2008,October,Average pH,Site 09,7.433333333
2008,September,Average pH,Site 09,7.3
2008,August,Average pH,Site 09,14.633333334
2008,July,Average pH,Site 09,15.306666666
2008,June,Average pH,Site 09,7.76
2008,May,Average pH,Site 09,8.156666667
2008,April,Average pH,Site 09,7.5
2008,March,Average pH,Site 09,7.2
2008,February,Average pH,Site 09,7.766666667
2008,January,Average pH,Site 09,13.733333334
2008,December,Average pH,Site 08,7.6
2008,November,Average pH,Site 08,7.4
2008,October,Average pH,Site 08,6.9
2008,September,Average pH,Site 08,7.366666667
2008,August,Average pH,Site 08,16.34
2008,July,Average pH,Site 08,16.4
2008,June,Average pH,Site 08,7.566666667
2008,May,Average pH,Site 08,8.033333333
2008,April,Average pH,Site 08,7.4
2008,March,Average pH,Site 08,8.566666667
2008,February,Average pH,Site 08,6.566666667
2008,January,Average pH,Site 08,13.133333334
2008,December,Average pH,Site 07,7.95
2008,November,Average pH,Site 07,7.6
2008,October,Average pH,Site 07,7.733333333
2008,September,Average pH,Site 07,7.933333333
2008,August,Average pH,Site 07,15.8
2008,July,Average pH,Site 07,16.106666666
2008,June,Average pH,Site 07,7.9
2008,May,Average pH,Site 07,8.136666667
2008,April,Average pH,Site 07,7.8
2008,March,Average pH,Site 07,7.8
2008,February,Average pH,Site 07,7.833333333
2008,January,Average pH,Site 07,13.8
2008,December,Average pH,Site 06,7.56
2008,November,Average pH,Site 06,7.4
2008,October,Average pH,Site 06,6.733333333
2008,September,Average pH,Site 06,6.533333333
2008,August,Average pH,Site 06,14.753333334
2008,July,Average pH,Site 06,15.213333334
2008,June,Average pH,Site 06,7.55
2008,May,Average pH,Site 06,7.863333333
2008,April,Average pH,Site 06,7.433333333
2008,March,Average pH,Site 06,7.3
2008,February,Average pH,Site 06,7.166666667
2008,January,Average pH,Site 06,13.4
2008,December,Average pH,Site 05,6.766666667
2008,November,Average pH,Site 05,6.933333333
2008,October,Average pH,Site 05,6.2
2008,September,Average pH,Site 05,6.666666667
2008,August,Average pH,Site 05,13.786666666
2008,July,Average pH,Site 05,13.973333334
2008,June,Average pH,Site 05,6.8
2008,May,Average pH,Site 05,7.4
2008,April,Average pH,Site 05,6.766666667
2008,March,Average pH,Site 05,7
2008,February,Average pH,Site 05,6.3
2008,January,Average pH,Site 05,12.266666666
2008,December,Average pH,Site 04,6.866666667
2008,November,Average pH,Site 04,7.333333333
2008,October,Average pH,Site 04,6.466666667
2008,September,Average pH,Site 04,6.633333333
2008,August,Average pH,Site 04,13.6
2008,July,Average pH,Site 04,15.98
2008,June,Average pH,Site 04,6.966666667
2008,May,Average pH,Site 04,7.4
2008,April,Average pH,Site 04,6.166666667
2008,March,Average pH,Site 04,6.3
2008,February,Average pH,Site 04,7
2008,January,Average pH,Site 04,12.466666666
2008,December,Average pH,Site 03,7.133333333
2008,November,Average pH,Site 03,6.7
2008,October,Average pH,Site 03,6.4
2008,September,Average pH,Site 03,6.3
2008,August,Average pH,Site 03,
2008,July,Average pH,Site 03,6.9
2008,June,Average pH,Site 03,6.6
2008,May,Average pH,Site 03,6.9
2008,April,Average pH,Site 03,6.333333333
2008,March,Average pH,Site 03,6.733333333
2008,February,Average pH,Site 03,6.866666667
2008,January,Average pH,Site 03,5.966666667
2008,December,Average pH,Site 02,6.7
2008,November,Average pH,Site 02,6.2
2008,October,Average pH,Site 02,6.416666667
2008,September,Average pH,Site 02,6.9
2008,August,Average pH,Site 02,13.8
2008,July,Average pH,Site 02,7.023333333
2008,June,Average pH,Site 02,6.866666667
2008,May,Average pH,Site 02,7.033333333
2008,April,Average pH,Site 02,6.366666667
2008,March,Average pH,Site 02,6.133333333
2008,February,Average pH,Site 02,6.466666667
2008,January,Average pH,Site 02,12.4
2008,December,Average pH,Site 01,5.7
2008,November,Average pH,Site 01,6.233333333
2008,October,Average pH,Site 01,6.6
2008,September,Average pH,Site 01,6.066666667
2008,August,Average pH,Site 01,6.91
2008,July,Average pH,Site 01,6.9
2008,June,Average pH,Site 01,6.566666667
2008,May,Average pH,Site 01,6.666666667
2008,April,Average pH,Site 01,6.373333333
2008,March,Average pH,Site 01,7
2008,January,Average pH,Site 01,6.033333333
2009,December,Average Conductivity (μS/cm),Site 16,109.4
2009,October,Average Conductivity (μS/cm),Site 16,123.1333333
2009,September,Average Conductivity (μS/cm),Site 16,121.3
2009,August,Average Conductivity (μS/cm),Site 16,127.3
2009,July,Average Conductivity (μS/cm),Site 16,144.3
2009,June,Average Conductivity (μS/cm),Site 16,170.7666667
2009,May,Average Conductivity (μS/cm),Site 16,174.7666667
2009,April,Average Conductivity (μS/cm),Site 16,184.8
2009,March,Average Conductivity (μS/cm),Site 16,178.6666667
2009,February,Average Conductivity (μS/cm),Site 16,197.8333333
2009,January,Average Conductivity (μS/cm),Site 16,205.4
2009,December,Average Conductivity (μS/cm),Site 15,198.4
2009,October,Average Conductivity (μS/cm),Site 15,115
2009,September,Average Conductivity (μS/cm),Site 15,91.63333333
2009,August,Average Conductivity (μS/cm),Site 15,90.03333333
2009,July,Average Conductivity (μS/cm),Site 15,97
2009,June,Average Conductivity (μS/cm),Site 15,145.0333333
2009,May,Average Conductivity (μS/cm),Site 15,156.8
2009,April,Average Conductivity (μS/cm),Site 15,171.5666667
2009,March,Average Conductivity (μS/cm),Site 15,156.6
2009,February,Average Conductivity (μS/cm),Site 15,117.7
2009,January,Average Conductivity (μS/cm),Site 15,194.3666667
2009,December,Average Conductivity (μS/cm),Site 13,27.3
2009,October,Average Conductivity (μS/cm),Site 13,30.73333333
2009,September,Average Conductivity (μS/cm),Site 13,44.8
2009,August,Average Conductivity (μS/cm),Site 13,41.96666667
2009,July,Average Conductivity (μS/cm),Site 13,46.53333333
2009,June,Average Conductivity (μS/cm),Site 13,43.86666667
2009,May,Average Conductivity (μS/cm),Site 13,38.63333333
2009,April,Average Conductivity (μS/cm),Site 13,28.36666667
2009,March,Average Conductivity (μS/cm),Site 13,41.13333333
2009,February,Average Conductivity (μS/cm),Site 13,49.26666667
2009,January,Average Conductivity (μS/cm),Site 13,51.13333333
2009,December,Average Conductivity (μS/cm),Site 12,28.2
2009,October,Average Conductivity (μS/cm),Site 12,47.1
2009,September,Average Conductivity (μS/cm),Site 12,45.16666667
2009,August,Average Conductivity (μS/cm),Site 12,43.13333333
2009,July,Average Conductivity (μS/cm),Site 12,46.36666667
2009,June,Average Conductivity (μS/cm),Site 12,44.83333333
2009,May,Average Conductivity (μS/cm),Site 12,39.7
2009,April,Average Conductivity (μS/cm),Site 12,46.56666667
2009,March,Average Conductivity (μS/cm),Site 12,41.96666667
2009,February,Average Conductivity (μS/cm),Site 12,49.63333333
2009,January,Average Conductivity (μS/cm),Site 12,52.53333333
2009,December,Average Conductivity (μS/cm),Site 11,88.88
2009,October,Average Conductivity (μS/cm),Site 11,49.53333333
2009,September,Average Conductivity (μS/cm),Site 11,78.56666667
2009,August,Average Conductivity (μS/cm),Site 11,48.73333333
2009,July,Average Conductivity (μS/cm),Site 11,52.13333333
2009,June,Average Conductivity (μS/cm),Site 11,48.83333333
2009,May,Average Conductivity (μS/cm),Site 11,41.53333333
2009,April,Average Conductivity (μS/cm),Site 11,49
2009,March,Average Conductivity (μS/cm),Site 11,43.16666667
2009,February,Average Conductivity (μS/cm),Site 11,54.73333333
2009,January,Average Conductivity (μS/cm),Site 11,55.96666667
2009,December,Average Conductivity (μS/cm),Site 10,84.83333333
2009,October,Average Conductivity (μS/cm),Site 10,205.2666667
2009,September,Average Conductivity (μS/cm),Site 10,229.3333333
2009,August,Average Conductivity (μS/cm),Site 10,214.5333333
2009,July,Average Conductivity (μS/cm),Site 10,221.8
2009,June,Average Conductivity (μS/cm),Site 10,175.2666667
2009,May,Average Conductivity (μS/cm),Site 10,114.1
2009,April,Average Conductivity (μS/cm),Site 10,160.7333333
2009,March,Average Conductivity (μS/cm),Site 10,128.7666667
2009,February,Average Conductivity (μS/cm),Site 10,172.9666667
2009,January,Average Conductivity (μS/cm),Site 10,226.4
2009,December,Average Conductivity (μS/cm),Site 09,160.6333333
2009,October,Average Conductivity (μS/cm),Site 09,206
2009,September,Average Conductivity (μS/cm),Site 09,246.2666667
2009,August,Average Conductivity (μS/cm),Site 09,218.0333333
2009,July,Average Conductivity (μS/cm),Site 09,197.8
2009,June,Average Conductivity (μS/cm),Site 09,179.5
2009,May,Average Conductivity (μS/cm),Site 09,115.8
2009,April,Average Conductivity (μS/cm),Site 09,169.4333333
2009,March,Average Conductivity (μS/cm),Site 09,119.0666667
2009,February,Average Conductivity (μS/cm),Site 09,180.8666667
2009,January,Average Conductivity (μS/cm),Site 09,223.3333333
2009,December,Average Conductivity (μS/cm),Site 08,173.6
2009,November,Average Conductivity (μS/cm),Site 08,540.6666667
2009,October,Average Conductivity (μS/cm),Site 08,194.7666667
2009,September,Average Conductivity (μS/cm),Site 08,169.7
2009,August,Average Conductivity (μS/cm),Site 08,314.4333333
2009,July,Average Conductivity (μS/cm),Site 08,285.9666667
2009,June,Average Conductivity (μS/cm),Site 08,185.3666667
2009,May,Average Conductivity (μS/cm),Site 08,112.8
2009,April,Average Conductivity (μS/cm),Site 08,115.3
2009,March,Average Conductivity (μS/cm),Site 08,99.43333333
2009,February,Average Conductivity (μS/cm),Site 08,214.7333333
2009,January,Average Conductivity (μS/cm),Site 08,189.9
2009,December,Average Conductivity (μS/cm),Site 07,71.2
2009,November,Average Conductivity (μS/cm),Site 07,576
2009,October,Average Conductivity (μS/cm),Site 07,259.1333333
2009,September,Average Conductivity (μS/cm),Site 07,305.3666667
2009,August,Average Conductivity (μS/cm),Site 07,473.3333333
2009,July,Average Conductivity (μS/cm),Site 07,313.3
2009,June,Average Conductivity (μS/cm),Site 07,264.3666667
2009,May,Average Conductivity (μS/cm),Site 07,102.8666667
2009,April,Average Conductivity (μS/cm),Site 07,148.6333333
2009,March,Average Conductivity (μS/cm),Site 07,105.2333333
2009,February,Average Conductivity (μS/cm),Site 07,222.0666667
2009,January,Average Conductivity (μS/cm),Site 07,230.8
2009,December,Average Conductivity (μS/cm),Site 06,89.26666667
2009,November,Average Conductivity (μS/cm),Site 06,161.7
2009,October,Average Conductivity (μS/cm),Site 06,113.4
2009,September,Average Conductivity (μS/cm),Site 06,90.43333333
2009,August,Average Conductivity (μS/cm),Site 06,100.1666667
2009,July,Average Conductivity (μS/cm),Site 06,116
2009,June,Average Conductivity (μS/cm),Site 06,158.8333333
2009,May,Average Conductivity (μS/cm),Site 06,62.83333333
2009,April,Average Conductivity (μS/cm),Site 06,169.3333333
2009,March,Average Conductivity (μS/cm),Site 06,106.3
2009,February,Average Conductivity (μS/cm),Site 06,132.7666667
2009,January,Average Conductivity (μS/cm),Site 06,194.9
2009,December,Average Conductivity (μS/cm),Site 05,92.16666667
2009,November,Average Conductivity (μS/cm),Site 05,188.5333333
2009,October,Average Conductivity (μS/cm),Site 05,71.66666667
2009,September,Average Conductivity (μS/cm),Site 05,66.2
2009,August,Average Conductivity (μS/cm),Site 05,61.03333333
2009,July,Average Conductivity (μS/cm),Site 05,71.4
2009,June,Average Conductivity (μS/cm),Site 05,106.2
2009,May,Average Conductivity (μS/cm),Site 05,55.8
2009,April,Average Conductivity (μS/cm),Site 05,144.4666667
2009,March,Average Conductivity (μS/cm),Site 05,98.86666667
2009,February,Average Conductivity (μS/cm),Site 05,127.9333333
2009,January,Average Conductivity (μS/cm),Site 05,168.7666667
2009,December,Average Conductivity (μS/cm),Site 04,228.0666667
2009,November,Average Conductivity (μS/cm),Site 04,216.4333333
2009,October,Average Conductivity (μS/cm),Site 04,63.3
2009,September,Average Conductivity (μS/cm),Site 04,62.23333333
2009,August,Average Conductivity (μS/cm),Site 04,56.6
2009,July,Average Conductivity (μS/cm),Site 04,56.53333333
2009,June,Average Conductivity (μS/cm),Site 04,86.1
2009,May,Average Conductivity (μS/cm),Site 04,46.26666667
2009,April,Average Conductivity (μS/cm),Site 04,87.46666667
2009,March,Average Conductivity (μS/cm),Site 04,79.23333333
2009,February,Average Conductivity (μS/cm),Site 04,114
2009,January,Average Conductivity (μS/cm),Site 04,163.4666667
2009,December,Average Conductivity (μS/cm),Site 03,
2009,November,Average Conductivity (μS/cm),Site 03,79.03333333
2009,October,Average Conductivity (μS/cm),Site 03,46.9
2009,September,Average Conductivity (μS/cm),Site 03,43.7
2009,August,Average Conductivity (μS/cm),Site 03,41.73333333
2009,July,Average Conductivity (μS/cm),Site 03,46.2
2009,June,Average Conductivity (μS/cm),Site 03,95.46666667
2009,May,Average Conductivity (μS/cm),Site 03,29.23333333
2009,April,Average Conductivity (μS/cm),Site 03,66.56666667
2009,March,Average Conductivity (μS/cm),Site 03,59.86666667
2009,February,Average Conductivity (μS/cm),Site 03,84.53333333
2009,January,Average Conductivity (μS/cm),Site 03,84.13333333
2009,December,Average Conductivity (μS/cm),Site 02,44.93333333
2009,November,Average Conductivity (μS/cm),Site 02,82.13333333
2009,October,Average Conductivity (μS/cm),Site 02,44.76666667
2009,September,Average Conductivity (μS/cm),Site 02,42.13333333
2009,August,Average Conductivity (μS/cm),Site 02,40
2009,July,Average Conductivity (μS/cm),Site 02,43.4
2009,June,Average Conductivity (μS/cm),Site 02,45.63333333
2009,May,Average Conductivity (μS/cm),Site 02,40.6
2009,April,Average Conductivity (μS/cm),Site 02,61.26666667
2009,March,Average Conductivity (μS/cm),Site 02,68.63333333
2009,February,Average Conductivity (μS/cm),Site 02,84.83333333
2009,January,Average Conductivity (μS/cm),Site 02,92.7
2009,December,Average Conductivity (μS/cm),Site 01,45.9
2009,November,Average Conductivity (μS/cm),Site 01,46.5
2009,October,Average Conductivity (μS/cm),Site 01,33.4
2009,September,Average Conductivity (μS/cm),Site 01,31.33333333
2009,August,Average Conductivity (μS/cm),Site 01,34.33333333
2009,July,Average Conductivity (μS/cm),Site 01,48.8
2009,June,Average Conductivity (μS/cm),Site 01,41.83333333
2009,May,Average Conductivity (μS/cm),Site 01,37.16666667
2009,April,Average Conductivity (μS/cm),Site 01,42.63333333
2009,March,Average Conductivity (μS/cm),Site 01,37.73333333
2009,February,Average Conductivity (μS/cm),Site 01,48.36666667
2009,January,Average Conductivity (μS/cm),Site 01,48.16666667
2009,December,Average DO (mg/L),Site 16,12.71
2009,October,Average DO (mg/L),Site 16,10.33333333
2009,September,Average DO (mg/L),Site 16,8.736666667
2009,August,Average DO (mg/L),Site 16,8.283333333
2009,July,Average DO (mg/L),Site 16,8.183333333
2009,June,Average DO (mg/L),Site 16,8.873333333
2009,May,Average DO (mg/L),Site 16,10.29666667
2009,April,Average DO (mg/L),Site 16,10.83
2009,March,Average DO (mg/L),Site 16,11.24
2009,February,Average DO (mg/L),Site 16,13.62
2009,January,Average DO (mg/L),Site 16,13.29333333
2009,December,Average DO (mg/L),Site 15,12.415
2009,October,Average DO (mg/L),Site 15,10.82666667
2009,September,Average DO (mg/L),Site 15,8.396666667
2009,August,Average DO (mg/L),Site 15,9.463333333
2009,July,Average DO (mg/L),Site 15,9.583333333
2009,June,Average DO (mg/L),Site 15,9.12
2009,May,Average DO (mg/L),Site 15,9.663333333
2009,April,Average DO (mg/L),Site 15,10.74333333
2009,March,Average DO (mg/L),Site 15,11.11333333
2009,February,Average DO (mg/L),Site 15,13.14333333
2009,January,Average DO (mg/L),Site 15,12.45666667
2009,December,Average DO (mg/L),Site 13,12.91666667
2009,October,Average DO (mg/L),Site 13,10.40333333
2009,September,Average DO (mg/L),Site 13,9.6
2009,August,Average DO (mg/L),Site 13,9.046666667
2009,July,Average DO (mg/L),Site 13,9.316666667
2009,June,Average DO (mg/L),Site 13,9.58
2009,May,Average DO (mg/L),Site 13,9.693333333
2009,April,Average DO (mg/L),Site 13,11.13
2009,March,Average DO (mg/L),Site 13,10.99333333
2009,February,Average DO (mg/L),Site 13,12.07
2009,January,Average DO (mg/L),Site 13,11.19333333
2009,December,Average DO (mg/L),Site 12,12.97
2009,October,Average DO (mg/L),Site 12,10.83666667
2009,September,Average DO (mg/L),Site 12,9.436666667
2009,August,Average DO (mg/L),Site 12,9.263333333
2009,July,Average DO (mg/L),Site 12,9.313333333
2009,June,Average DO (mg/L),Site 12,9.363333333
2009,May,Average DO (mg/L),Site 12,9.56
2009,April,Average DO (mg/L),Site 12,10.65
2009,March,Average DO (mg/L),Site 12,10.77
2009,February,Average DO (mg/L),Site 12,12.29333333
2009,January,Average DO (mg/L),Site 12,11.52333333
2009,December,Average DO (mg/L),Site 11,15.31
2009,October,Average DO (mg/L),Site 11,10.33333333
2009,September,Average DO (mg/L),Site 11,8.47
2009,August,Average DO (mg/L),Site 11,9.43
2009,July,Average DO (mg/L),Site 11,10.34666667
2009,June,Average DO (mg/L),Site 11,10.48333333
2009,May,Average DO (mg/L),Site 11,10.5
2009,April,Average DO (mg/L),Site 11,11.39666667
2009,March,Average DO (mg/L),Site 11,11.01666667
2009,February,Average DO (mg/L),Site 11,
2009,January,Average DO (mg/L),Site 11,14.41
2009,December,Average DO (mg/L),Site 10,13.86333333
2009,October,Average DO (mg/L),Site 10,10.51666667
2009,September,Average DO (mg/L),Site 10,9.663333333
2009,August,Average DO (mg/L),Site 10,8.213333333
2009,July,Average DO (mg/L),Site 10,8.89
2009,June,Average DO (mg/L),Site 10,10.94666667
2009,May,Average DO (mg/L),Site 10,9.7
2009,April,Average DO (mg/L),Site 10,11.32666667
2009,March,Average DO (mg/L),Site 10,11.31666667
2009,February,Average DO (mg/L),Site 10,12.94
2009,January,Average DO (mg/L),Site 10,13.89666667
2009,December,Average DO (mg/L),Site 09,18.63333333
2009,October,Average DO (mg/L),Site 09,15.86
2009,September,Average DO (mg/L),Site 09,10.64666667
2009,August,Average DO (mg/L),Site 09,10.1
2009,July,Average DO (mg/L),Site 09,8.753333333
2009,June,Average DO (mg/L),Site 09,14.14333333
2009,May,Average DO (mg/L),Site 09,9.766666667
2009,April,Average DO (mg/L),Site 09,13.26
2009,March,Average DO (mg/L),Site 09,11.98
2009,February,Average DO (mg/L),Site 09,12.69
2009,January,Average DO (mg/L),Site 09,
2009,December,Average DO (mg/L),Site 08,11.97333333
2009,November,Average DO (mg/L),Site 08,11.33333333
2009,October,Average DO (mg/L),Site 08,9.943333333
2009,September,Average DO (mg/L),Site 08,9.026666667
2009,August,Average DO (mg/L),Site 08,10.36666667
2009,July,Average DO (mg/L),Site 08,9.616666667
2009,June,Average DO (mg/L),Site 08,9.67
2009,May,Average DO (mg/L),Site 08,9.51
2009,April,Average DO (mg/L),Site 08,9.786666667
2009,March,Average DO (mg/L),Site 08,11.37
2009,February,Average DO (mg/L),Site 08,12.58333333
2009,January,Average DO (mg/L),Site 08,
2009,December,Average DO (mg/L),Site 07,11.46333333
2009,November,Average DO (mg/L),Site 07,9.35
2009,October,Average DO (mg/L),Site 07,9.353333333
2009,September,Average DO (mg/L),Site 07,8.51
2009,August,Average DO (mg/L),Site 07,10.42666667
2009,July,Average DO (mg/L),Site 07,7.15
2009,June,Average DO (mg/L),Site 07,8.93
2009,May,Average DO (mg/L),Site 07,9.8
2009,April,Average DO (mg/L),Site 07,10.17333333
2009,March,Average DO (mg/L),Site 07,10.53
